date,price,usdt_volume,ether_volume
2020-01-22 19:00:00,162.79717713,9329186.06538753,57160.46999317
2020-01-23 19:00:00,162.63977999,8075797.24294678,50282.32446051
2020-01-24 19:00:00,160.38749904,6618662.59183495,41312.35804774
2020-01-25 19:00:00,167.92331066,7349134.78272291,44905.76668226
2020-01-26 19:00:00,170.0257804,10251982.0350519,60651.50376631
2020-01-27 19:00:00,175.80113192,12742916.68054142,73987.32350635
2020-01-28 19:00:00,173.84420006,10205791.13332562,57865.37520364
2020-01-29 19:00:00,184.72381145,12329615.97104,69562.7805213
2020-01-30 19:00:00,179.97716845,10882018.67800612,60143.10884015
2020-01-31 19:00:00,183.67882983,9575256.07271684,52544.76552571
2020-02-01 19:00:00,188.46709233,13308027.03767347,70891.71056195
